sex,bdate,city,groups_activities
м,,Санкт-Петербург,
м,31.5.1986,Санкт-Петербург,"Городское сообщество; Бизнес; Интернет-СМИ; Политика; Программирование; Городское сообщество; Консалтинг, бизнес-услуги; Бизнес; Городское сообщество; Городское сообщество; Городское сообщество; Гостиница; Услуги для автовладельцев; Интернет-СМИ; Приложение; Блог; Консалтинг, бизнес-услуги; Бизнес; Бизнес; Группа коллег"
ж,,,
м,,,
ж,29.10.1985,Великий Новгород,"Реклама; Приложение; Туризм, путешествия; Дизайнер; Государственная организация; Продукты питания, напитки; Комик; Творчество; Производство контента; Дом культуры; Государственная организация; Дискуссионный клуб; Предприниматель; Одежда, обувь; Реклама; Культурный центр; Писатель; Туризм, путешествия; Здоровый образ жизни; Фитнес"
м,,Москва,Интернет-СМИ; Военное дело; Видеоигры; Юмор; Юмор; Образование; Культура; История; Юмор; Видеоигры; Юмор; Охота и рыбалка; История; Другие хобби; Фан-сообщество; Финансы; Книга; Юмор; Общество; Автомобили
м,28.10.1986,Санкт-Петербург,
м,,,"Туризм, путешествия; Активный отдых; Туризм, путешествия; Туризм, путешествия; Туризм, путешествия; Туризм, путешествия; Творчество; Мотоциклы и другая мототехника; Мотоциклы и другая мототехника; Туризм, путешествия; Информационный портал; Кино; Творчество; Украшения, бижутерия ; Фотограф; Художник; Фан-сообщество; Товары для дома; Мототехника; Бизнес"
м,31.8.1989,Санкт-Петербург,Дом культуры; Бизнес; Приложение; Фотограф; Видеоигры; Городское сообщество; Философия; Художница; Финансы; Бизнес; Блогер; Бизнес; Интеллектуальные игры; Анимация; Городское сообщество; Онлайн-игра; Фотография; Видеоигры; Финансы; Группа сокурсников
ж,9.11.1992,,
ж,,Санкт-Петербург,"Шоу, передача; Творчество; Творчество; Стиль, мода; Одежда, обувь; Городское сообщество; Стиль, мода; Культурный центр; Кино; Творчество; Философия; Юмор; Творчество; Стиль, одежда, обувь; Одежда, обувь; Другие хобби; Стиль, одежда, обувь; Туризм, путешествия; Музей, галерея, выставка; Издательский дом"
ж,11.1.1987,,"Дом культуры; Туризм, путешествия; Культурный центр; Театр; Юмор; Юмор; ВКонтакте; Философия; Туры, экскурсии; Дизайн и графика; Художник; Городское сообщество; Дизайн-студия; Дизайнер; Юмор; Городское сообщество; Дизайн интерьера; Бизнес; Культура; Дискуссионный клуб"
м,,Санкт-Петербург,"Активный отдых; Поиск работы; История; Городское сообщество; Дополнительное образование; Городское сообщество; Образование; Строительство, ремонт; Образование; Образование; История; История; Зоопарк; История; Наука; Книга; История; Публичная страница; Образование; Языки"
м,1.1.1989,Санкт-Петербург,Философия; Кино; Кино; Творчество; Литература; Ведущий; Интернет-СМИ; Другая музыка; Боевые искусства; Литература; Кино; Интернет-СМИ; Городское сообщество; Дискуссионный клуб; Фильм; Обмен музыкой
м,13.5.1987,Казань,
м,,Москва,"Дизайн-студия; Интернет-СМИ; Организация праздников; Информационный портал; Электронная музыка; Фотография; Дополнительное образование; Наука; Творчество; Другие хобби; Общество; Творчество; Другие хобби; Культурный центр; Философия; Творчество; Стиль, мода; Программное обеспечение; История; Музыкант"
ж,,Санкт-Петербург,"Юмор; Отношения полов; Интернет-СМИ; Соседи; Шоу, передача; Городское сообщество; Городское сообщество; Комик; Городское сообщество; Городское сообщество; Юмор; Группа коллег; Юмор; Юмор; Туры, экскурсии; Художник; Юмор; Юмор; Туры, экскурсии; Юмор"
м,,Санкт-Петербург,
м,27.11.1984,Москва,"Городское сообщество; Городское сообщество; Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Фотография; Юмор; Наука; Юмор; Интернет-СМИ; Государственная организация; Политика; Юмор; Государственная организация; Интернет-СМИ; Юмор; Юмор; Музей, галерея, выставка"
м,,Москва,Автомобили; Блогер; Услуги для автовладельцев; Интернет-СМИ; Автосалон; Бизнес; Эротика; Творчество; Тату-салон; Тату-салон; Объявления; Юмор; Часы; Фотография; Другие товары; Культура; Фотография; Юмор; Объявления; Фестиваль
ж,3.4.1986,Москва,"Туризм, путешествия; ВКонтакте; Кино; ВКонтакте; Кино; Литература; Реклама; Туризм, путешествия; Кулинария, рецепты; Образование; Кино; Наука; Обучающие курсы; Образование; Общество; Интернет-СМИ; Книжный магазин; Языки; Приложение; Сайты"
м,5.12.1980,Санкт-Петербург,Интернет-СМИ; Фотограф; Юмор; История; Эротика; Юмор; Юмор; Фотография; Фотография; Фотография; Юмор; Фотография; Культура; Недвижимость; Культура; Творчество; Юмор; Юмор; Юмор; Юмор
м,1.3.1987,Москва,
м,,Санкт-Петербург,Интернет-СМИ; Юмор; Дополнительное образование; Юмор; Городское сообщество; Игры; Государственная организация; Интернет-СМИ; Творчество; Юмор; Юмор; Интернет-СМИ; Общественная организация; Другие хобби; Литература; Городское сообщество; Интернет-СМИ; Модель; Анимация; Зоопарк
ж,,,Литература; Литература; Родители и дети; Литература; Литература; Родители и дети; Интернет-СМИ; Блог; Писательница; Домашние и дикие животные; Писатель; Образование; Сериал; Кино; Литература; Образование; Книга; Литература; Писатель или писательница; Печатное издание
м,,,"Кино; Дом культуры; Городское сообщество; Одежда, обувь; Блогер; Одежда, обувь; Другие услуги; Музыкальный лейбл; Другая музыка; Парфюмерия, косметика; Обмен музыкой; Видеоигры; Кино; Творчество; Инди; Бизнес; Музыкальный лейбл; Музыкальная группа; Музей, галерея, выставка; Стиль, одежда, обувь"
м,,Санкт-Петербург,"R&B; Музыка; Музыка; Здоровый образ жизни; Музыкальная группа; История; Туризм, путешествия; Юмор; Дом культуры; Видеоигры; Общественная организация; Сайты; Фотография; Религия; Видеоигры; Творчество; Городское сообщество; Музыкальный лейбл; Музыкальный лейбл; Фотография"
м,10.3.1989,Санкт-Петербург,"Игры; Бизнес; Печатное издание; Игры; Издательский дом; Юмор; Программирование; Видеоигры; Видеоигры; Бизнес; Шоу, передача; Дом культуры; Университет; Программирование; Музыкальная группа; Программное обеспечение; Игры, игрушки; Наука; Музыкальная группа; Государственная организация"
м,14.6.1996,Санкт-Петербург,Философия; Творчество; Общественный деятель; Художник; Философия; Дом культуры; Фан-сообщество; Юмор; Ролевые игры; Творчество; Наука; Творчество; Садоводство; Творчество; Культура; Врач; Знакомства; Культурный центр; Музыкальная группа; Художник или художница
м,15.9.1988,Москва,Домашние и дикие животные; Юмор; Кино; Видеоигры; Кино; Кино; История; Юмор; Юмор; Гостиница; Художник; Культура; Городское сообщество; Сайты; Культура; Фан-сообщество; Группа памяти; Юмор; Городское сообщество
м,,Москва,Кино; Активный отдых; Творчество; Городское сообщество; Наука; Приложение; Кинотеатр; Блогер; Кинотеатр; Кино; Литература; Кино; Кино; Образование; Кино; Медицина; Кино; Университет; Институт; Место отдыха
м,,Санкт-Петербург,"Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Программирование; Техника, электроника; Фотография; Радиостанция; Программирование; Творчество; Программирование; Интернет-СМИ; Электроника; Городское сообщество; Программирование; Творчество; Юмор; История; Юмор; Программирование; Образование"
м,,Екатеринбург,
м,12.6.1978,Санкт-Петербург,
ж,,Санкт-Петербург,"Кино; Кино; Фотография; Художница; Художница; Юмор; Художница; Творчество; Обучающие курсы; Обучающие курсы; Образование; Творчество; Туризм, путешествия; Фотография; Домашние и дикие животные; Творчество; Объявления; Музей, галерея, выставка; Фотография; Фотография"
ж,11.6.1989,Москва,"Дискуссионный клуб; Кино; Интернет-СМИ; Психология; Домашние и дикие животные; Туризм, путешествия; Строительные и ремонтные работы; Обучающие курсы; Недвижимость; Недвижимость; Благотворительность; Городское сообщество; Художница; Юмор; Общество; Фотография; Юмор; Туризм, путешествия; Фото- и видеосъёмка; Философия"
ж,,,
м,,Москва,"Боевые искусства; Интернет-СМИ; Наука; Кафе, ресторан; Rap, Hip-Hop; Культурный центр; Фотография; Философия; Образование; Культура; История; История; Интернет-СМИ; Интернет-СМИ; Блогер; Блог; Футбол; Музыкант; Творчество; Объявления"
м,,Санкт-Петербург,Электронная музыка; Интернет-СМИ; Кино; Композитор; Соседи; Кино; Электронная музыка; Творчество; Композитор; Обучающие курсы; Образование; Обучающие курсы; Электронная музыка; Политика; Радиостанция; DJ; Музыкант; Творчество; Блогер; Электронная музыка
м,1.1.1920,Москва,"Творчество; Творчество; Кино; Шоу, передача; Творчество; Шоу, передача; Философия; Творчество; Юмор; Творчество; Дом культуры; Наука; Юмор; Творчество; Творчество; Юмор; Кино; Дизайн и графика; Юмор; Юмор"
