sex,bdate,city,groups_activities
м,,Челябинск,
м,,Санкт-Петербург,"Городское сообщество; Интернет-СМИ; Здоровый образ жизни; Дизайнер; Юмор; Видеоигры; Юмор; Юмор; Городское сообщество; Юмор; Интернет-СМИ; Стиль, мода; Культура; Творчество; Фитнес; Юмор; Образование; Юмор; Эротика; Интернет-СМИ"
ж,,,"Творчество; Юмор; Музей, галерея, выставка; Творчество; Юмор; Стиль, одежда, обувь; Объявления; Культура; Блогер; Юмор; Торгово-развлекательный центр; Юмор; Общество; Культура; Домашние и дикие животные; Литература; Шоу, передача; Дизайн и графика; Фитнес; Здоровый образ жизни"
м,11.12.1977,Великий Новгород,"Фотография; Музыкальная группа; Городское сообщество; Фотография; Фотография; Творчество; Фотография; Городское сообщество; Информационный портал; Объявления; Городское сообщество; Фотография; Городское сообщество; Интернет-СМИ; История; Туризм, путешествия; Блогер; Фотография; Фотография; Интернет-СМИ"
м,,Новосибирск,"Электроника; Интернет-СМИ; Одежда, обувь; Объявления; Спортивная одежда и обувь; Интернет-СМИ; Техника, электроника; Дом культуры; Интернет-СМИ; Одежда, обувь; Одежда, обувь; Стиль, одежда, обувь; Культура; Интернет-СМИ; Одежда, обувь; Одежда, обувь; Техника, электроника; Одежда, обувь; Реклама; Производство, промышленность"
ж,16.7.1990,,"Вымышленный персонаж; Дизайн и графика; Образование; Творчество; Образование; Наука; Программирование; Реклама; Юмор; Фотография; Народная музыка, фолк; Бар, паб; История; История; Медицина; Спортивная организация; Стиль, одежда, обувь; Домашние и дикие животные; Творчество; Творчество"
м,,,
м,,,Юмор; Цирк; Программирование; Музыкальная группа; Юмор; Другая музыка; Видеоигры; Музыкальная группа; Здоровый образ жизни; Интернет-СМИ; Программирование; Юмор; Наука; Программирование; Культура; Музыкальная группа; Музыкальная группа; Юмор; Обмен музыкой; Видеоигры
м,24.7.1988,Москва,"Фотография; Обучающие курсы; Дизайн и графика; Дизайн и графика; Юмор; Соседи; Фотография; Городское сообщество; Страна; Строительство, ремонт; Фотография; Дизайн и графика; Программное обеспечение; Туризм, путешествия; Строительство, ремонт; Кино; Автомобили; Культура; Фотография; Страна"
ж,6.7.1978,Санкт-Петербург,"Художница; Товары для детей; Библиотека; Театр; Художница; Творчество; Игры, игрушки; Другие товары; Психология; Печать, полиграфия; Культурный центр; Игры, игрушки; Общественная организация; Творчество; Творчество; Культура; История; Культура; Художница; Творчество"
м,,Владимир,Городское сообщество; Юмор; Дизайн и графика; Фотография; Автовладельцы; Фото- и видеосъёмка; Отдых на природе; История; Гостиница; История; Городское сообщество; Творчество; Дизайн и графика; Культура; Общество; Юмор; Интернет-СМИ; Юмор; Кино; Городское сообщество
м,1.11.1990,Москва,"Интернет-СМИ; Бизнес; Юмор; Городское сообщество; Кино; Программирование; Программирование; Бизнес; Образование; Фитнес; Творчество; Обучающие курсы; Городское сообщество; Лицей; Строительство, ремонт; Юмор; Кулинария; Творчество; Туризм, путешествия; Интерьер"
ж,,Москва,
м,,Санкт-Петербург,"Дизайн и графика; Кино; Художник; Кино; Художник; Кино; Игры; Творчество; Фотография; Фотография; Настольные игры; Туризм, путешествия; Туризм, путешествия; Художник или художница; Строительство, ремонт; Туризм, путешествия; Кино; Объявления; Модель; Другие хобби"
ж,22.7.2004,Санкт-Петербург,"Культура; Интернет-СМИ; Дизайн интерьера; Культура; Интернет-СМИ; Здоровый образ жизни; Психолог; Культура; Образование; Творчество; Стиль, одежда, обувь; Культура; Образование; Дизайнер; Творчество; Наука; Дизайн-студия; Дизайн и графика; Культура; Производство, промышленность"
м,,Москва,
ж,,Buenos Aires,
м,30.9.1983,Санкт-Петербург,Общественная организация; Дискуссионный клуб; Интернет-СМИ; Юмор; Образование; Культура; Наука; Творчество; Обучающие курсы; Государственная организация; Дизайн-студия; Культура; Интернет-СМИ; Городское сообщество; История; Блог; Зимние виды спорта; Молодёжное движение; Творчество; Государственная организация
м,,Кострома,"Группа коллег; Юмор; Юмор; Блогер; Городское сообщество; Кино; Городское сообщество; Группа коллег; Обучающие курсы; Фотография; Кино; Мобильные технологии; Кулинария, рецепты; Публичная страница; Творчество; Поиск работы; Продукты питания, напитки; Обучающие курсы; Салон красоты; Литература"
ж,,Москва,"Образование; Туризм, путешествия; Фотография; Туры, экскурсии; Религиозное учреждение; Место отдыха; История; Музей, галерея, выставка; Фотография; Юмор; Театр; Фотография; Блогер; Юмор; Дополнительное образование; Другая музыка; История; Творчество; Туризм, путешествия; История"
м,,Москва,"Продукты питания, напитки; Кино; Другие товары; Игры; Творчество; Продукты питания, напитки; Творчество; Активный отдых; Производство, промышленность; Юмор; Интернет-СМИ; Юмор; Кино; Творчество; Интернет-СМИ; Политика; Городское сообщество; Фан-сообщество; Интернет-СМИ; Анимация"
ж,,Вологда,
ж,,Москва,"Дизайн интерьера; Юмор; Образование; Наука; Наука; Кулинария; Юмор; Туризм, путешествия; Творчество; Литература; Туризм, путешествия; Интернет-СМИ; Творчество; Кино; Городское сообщество; Здоровый образ жизни; Творчество; Городское сообщество; Кино; Фотография"
м,,Москва,
м,20.7.1982,Донецк,"Творчество; Фотография; Медицина; Фотография; Библиотека; Бизнес; Музей, галерея, выставка; Боевые искусства; Дом культуры; Дополнительное образование; Фотография; Творчество; Фотография; Городское сообщество; Фотография; Фотография; Фотография; Фотография; Фотография; Городское сообщество"
ж,,,"Писатель; Юмор; Здоровый образ жизни; Шоу, передача; Туризм, путешествия; Медицинская услуга; Дизайн и графика; Здоровый образ жизни; Здоровый образ жизни; Юмор; Юмор; Вымышленный персонаж; Консалтинг, бизнес-услуги; Фотография; Творчество; Реклама; Здоровый образ жизни; Реклама; Городское сообщество; Образование"
м,30.10.1986,Москва,"Юмор; Юмор; Юмор; Образование; Юмор; Юмор; Дом культуры; Стиль, одежда, обувь; Дизайн и графика; Наука; Юмор; Дизайн интерьера; Салон красоты; Домашние и дикие животные; Экстремальный спорт; Дизайн и графика; Образование; Обучающие курсы; Домашние и дикие животные"
ж,,,"ВКонтакте; Финансы; Финансы; Художник или художница; Фан-сообщество; Философия; Художница; Туризм, путешествия; Юмор; Композитор; Комик; Юмор; Дизайн и графика; Бизнес; Творчество; Бизнес; Художница; Юмор; Приложение; Образование"
м,10.8.1988,Москва,Юмор; Блогер; Юмор; История; Образование; Наука; Юмор; Наука; Наука; Общество; Юмор; История; Наука; Отношения полов; Юмор; Юмор; Юмор; Фотография; Юмор; Наука
м,,,
м,25.3.1989,Москва,"Интернет-СМИ; Юмор; Цирк; Рыбалка; Видеоигры; Игры; Юмор; Кино; Кино; Кино; Музей, галерея, выставка; Игры; Юмор; Мобильные технологии; Кино; Юмор; Дизайн и графика; Кино; Кино; Кино"
м,2.9.1984,Тольятти,Городское сообщество; Видеоигра; Городское сообщество; Фан-сообщество; История; Стример; Фан-сообщество; Военное дело; Автовладельцы; Юмор; Интернет-СМИ; Закрытое сообщество; Автомобили; Электроника; Автовладельцы; Дизайн интерьера; Общественная организация; Наука; Городское сообщество; Государственная организация
м,6.6.1986,Калининград,Интернет-СМИ; Реклама; Кино; Электроника; Образование; Юмор; Видеоигра; Оператор мобильной связи; Музыкальная группа; DJ; Образование; Образование; Образование; Образование; Городское сообщество; Культура; Электронная музыка; Юмор; Наука; Музыкант
ж,,Москва,
ж,,Санкт-Петербург,
м,,Москва,"Юмор; Безопасность; Юмор; Интернет-СМИ; Юмор; Видеоигры; Приложение; Музыкант; Вымышленный персонаж; Бизнес; Дизайн и графика; Вымышленный персонаж; Сайты; Литература; Художница; Бизнес; Кино; Творчество; Строительство, ремонт; Видеоигры"
м,,Санкт-Петербург,"Дизайн и графика; Здоровый образ жизни; Техника, электроника; Другие товары; Общество; Программное обеспечение; Дополнительное образование; Электроника; Одежда, обувь; Образование; Комик; Другие хобби; Музыкальная группа; Программирование; Юмор; Дискуссионный клуб; Другие товары; Творчество; Мотоциклы и другая мототехника; Программное обеспечение"
ж,12.8.1972,Лермонтов,Спортивная организация; Дизайн и графика; Художник или художница; Художница; Дизайн и графика; Литература; Литература; Писательница; Художница; Художница; Литература; Писатель; Литература; Танцевальная школа; Дизайн и графика; Писательница; Литература; Реклама; Творчество; Товары для творчества
м,,Санкт-Петербург,Программирование; Наука; Образование; Программирование; Программирование; Юмор; Образование; Обучающие курсы; Наука; Киберспортивная организация; Образование; Писатель; Обучающие курсы; Художник или художница; Программирование; Художник; Интернет-СМИ; Творчество; Музыкальная группа; Образование
м,,Керчь,
ж,,,Танцевальная школа; Обучающие курсы; Городское сообщество; Дизайн и графика; Наука; Дополнительное образование; Культура; Здоровый образ жизни; Культура; Театр; Спортивный комплекс; Образование; Творчество; Образование; История; Художница; Домашние и дикие животные; Музыкальная группа; Ветеринарная клиника; Музыкальная группа
м,25.3.1987,,"Творчество; Кино; Художник; Недвижимость; Электроника; Видеоигры; Туризм, путешествия; Городское сообщество; Творчество; Видеоигра; Творчество; Творчество; Государственная организация; Видеоигры; Дискуссионный клуб; Видеоигра; Спортивная организация; Наука; Видеоигры; Игры, игрушки"
м,31.7.1988,Светогорск,Юмор; Интернет-СМИ; Библиотека; Интернет-СМИ; Программирование; Дизайн и графика; Литература; Анимация; Библиотека; Общественный деятель; Литература; Анимация; Анимация; Военное дело; Писатель; Торгово-развлекательный центр; Домашние и дикие животные; Творчество; Дискуссионный клуб; Общество
м,17.4.1983,Владимир,
м,,Москва,"Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Стиль, одежда, обувь; Бизнес; Бизнес; Интернет-СМИ; Игры; Отдых на природе; Интернет-СМИ; Фотография; Интернет-СМИ; Юмор; Спортивное питание; Творчество; Студия звукозаписи; Общественная организация; Бизнес; Кино; Стиль, одежда, обувь"
ж,,Ростов-на-Дону,"Университет; Цветы; Парк отдыха; Университет; Блогер; Образование; Музей, галерея, выставка; Военное дело; Культура; Услуги для владельцев животных; Городское сообщество; Музей, галерея, выставка; Творчество; Дизайн и графика; История; Туризм, путешествия; Издательский дом; Туризм, путешествия; Домашние и дикие животные; Творчество"
м,25.5.1989,,"Юмор; Объявления; Программирование; Интернет-СМИ; Художник или художница; Городское сообщество; Игры; Видеоигры; Образование; Обучающие курсы; Комик; Бизнес; Туризм, путешествия; Видеоигры; Игры; Видеоигры; Интернет-СМИ; Интернет-СМИ; Другая музыка; Поиск работы"
м,5.10.1988,Москва,
м,,Москва,Дизайн и графика; Программирование; Кино; Дом культуры; Программирование; Дизайн и графика; Программирование; Образование; Программирование; Образование; Образование; Дизайн и графика; Дизайн и графика; Сайты; Программирование; Наука; Дизайн и графика; Творчество; Программирование; Образование
м,,Москва,Кино; Блогер; Юмор; Юмор; Наука; Юмор; Телеканал; Юмор; Юмор; Юмор; Юмор; Юмор; Юмор; Танцевальная музыка; Юмор; Юмор; История; Юмор; Игры; Игры
м,,Уфа,Юмор; Видеоигра; Игры; Игры; Кино; Юмор; Фотография; Творчество; Интернет-СМИ; Ролевые игры; Кино; Юмор; Видеоигры; Видеоигры; Дизайн и графика; Веб-студия; Активный отдых; Другие товары; Видеоигры; Строительные и ремонтные работы
м,,Москва,
м,,,"Интернет-СМИ; Культура; Продукты питания, напитки; Бизнес; ВКонтакте; Художник или художница; Финансы; Творчество; Культура; Наука; Одежда, обувь; Программирование; Программирование; Цветы; Творчество; Видеоигры; Творчество; Писательница; Фотография; Молодёжное движение"
м,4.11.1990,Москва,
м,,Шатура,
ж,,Великий Новгород,"Творчество; Блогер; История; Танцевальная музыка; Салон красоты; Блогер; Стиль, мода; Фотография; Юмор; Юмор; Фото- и видеосъёмка; Доставка еды; Салон красоты; Творчество; Стиль, одежда, обувь; Печать, полиграфия; Блогер; История; Музыкальная группа; Дизайн и графика"
м,27.1.1990,Санкт-Петербург,"Футбол; Футбол; Кино; Тату-салон; Товары для дома; Музыкальный лейбл; Музыкант; Охота и рыбалка; Шоу, передача; Телеканал; Музыкант; Футбольная команда; Студия звукозаписи; Музыкальная группа; Другие товары; Шоу, передача; Наука; Футбол; Туризм, путешествия; Приложение"
