sex,bdate,city,groups_activities
м,14.8.1982,Серпухов,"Фотография; Туризм, путешествия; Юмор; Стиль, одежда, обувь; Фотография; Творчество; Культура; Студия звукозаписи; Юмор; Стиль, одежда, обувь; Другая музыка; Культура; Культура; Творчество; Юмор; Юмор; Дискуссионный клуб; Юмор; Кино; Домашние и дикие животные"
м,,Санкт-Петербург,"Интернет-СМИ; Поиск работы; Городское сообщество; Кинотеатр; Другая музыка; Кинотеатр; Туризм, путешествия; Кино; Блогер; Кулинария, рецепты; Государственная организация; Другая музыка; Поиск работы; Фотография; Шоу, передача; Творчество; История; Техника, электроника; Культурный центр; Кулинария, рецепты"
м,,Тула,Образование; Фан-сообщество; Кино; Молодёжное движение; Дизайн и графика; Дом культуры; Фотография; Фотография; Фотография; Городское сообщество; Фотография; Творчество; Фотография; Блог; Футбол; Интернет-СМИ; Фотография; Юмор; Фото- и видеосъёмка; Образование
м,,Москва,"Эротика; Интернет-СМИ; Другие хобби; Объявления; Школа; Творчество; Юмор; Дизайн и графика; Религиозное учреждение; Юмор; Товары для дома; Творчество; Стиль, мода; Дизайн-студия; Творчество; Домашние и дикие животные; Музыка; Стиль, одежда, обувь; Вымышленный персонаж; Юмор"
ж,18.10.1990,Москва,"Юмор; Юмор; Интернет-СМИ; Юмор; Образование; Юмор; Религия; Городское сообщество; Философия; Стиль, одежда, обувь; Домашние и дикие животные; Творчество; Медицина; Медицина; Юмор; Образование; Фотография; Одежда, обувь; Творчество; Фотография"
ж,,Новобейсугская,
ж,,,
ж,22.10.1993,Москва,"Юмор; Юмор; Кино; Блогер; Писатель; Юмор; Объявления; Дискуссионный клуб; Техника, электроника; Политика; Игры; Интернет-СМИ; Стример; Юмор; Интернет-СМИ; Юмор; Юмор; Образование; Шоу, передача; Юмор"
ж,,Ярославль,
ж,,Санкт-Петербург,
ж,,Санкт-Петербург,"Шоу, передача; Художник или художница; Украшения, бижутерия ; Одежда, обувь; Культурный центр; Программное обеспечение; Родители и дети; Образование; Дизайн-студия; Медицинский центр; Образование; Кофейня; Обучающие курсы; Бизнес; Кино; Творчество; Шоу, передача; Здоровый образ жизни; Культурный центр; Культурный центр"
ж,,,"Общественная организация; Интернет-СМИ; Садоводство; Родители и дети; Дизайн интерьера; Городское сообщество; Культура; Образование; Другая музыка; Общество; Творчество; Родители и дети; Музыкант; Интернет-СМИ; Образование; Образование; Шоу, передача; Недвижимость; Государственная организация; Дополнительное образование"
м,,Донецк,Фотография; Творчество; Знакомства; Дискуссионный клуб; Наука; Автовладельцы; Видеоигры; Эротика; Наука; Модель; Стример; Модель; Юмор; Кино; Бизнес; Творчество; Дискуссионный клуб; Творчество; Обмен музыкой; Юмор
м,,,
ж,,Москва,
м,,Ижевск,
ж,,Москва,"Кино; Кино; Кулинария, рецепты; Юмор; Юмор; Юмор; Кулинария, рецепты; Юмор; Творчество; Юмор; Кулинария, рецепты; Уход за собой; Кино; Уход за собой; Юмор; Здоровый образ жизни; Уход за собой; Образование; Садоводство; Юмор"
м,1.5.1978,Санкт-Петербург,Юмор; Литература; Фотография; Образование; Наука; Кино; Образование; Дизайн и графика; Образование; Юмор; Общество; Наука; Наука; Юмор; Юмор; Финансы; Обучающие курсы; Бизнес; Образование; Городское сообщество
м,,,
м,,Москва,"Объявления; Знакомства; Творчество; Стиль, одежда, обувь; Знакомства; Туры, экскурсии; Объявления; Шоу, передача; История; Знакомства; Блогер; Знакомства; Парфюмерия, косметика; Фотография; Знакомства; Объявления; Общественная организация; Туризм, путешествия; Туризм, путешествия; Знакомства"
м,25.4.1988,,"Кино; Футбол; Шоу, передача; Наука; Телеканал; Городское сообщество; Дизайн и графика; Игры; Юмор; Игры; Юмор; Дискуссионный клуб; Видеоигры; Домашние и дикие животные; Юмор; Культура; Объявления; Видеоигры; Телеканал; Шоу, передача"
м,28.5.1983,,
м,,Matsudo,
м,13.1.1989,Нижний Новгород,"Анимация; Городское сообщество; Интернет-СМИ; Другие товары; Видеоигры; Творчество; Автомобили; Наука; Городское сообщество; Программное обеспечение; Наука; Веб-студия; Наука; Торгово-развлекательный центр; Блогер; Политик, госслужащий; Интернет-СМИ; Музыкальная группа; Домашние и дикие животные"
ж,,Москва,"Интеллектуальные игры; Творчество; Образование; Туризм, путешествия; Литература; Образование; Творчество; Туризм, путешествия; Юмор; Городское сообщество; Другие хобби; Дизайн и графика; Фан-сообщество; Кино; Творчество; Юмор; Наука; Дизайн и графика; Туризм, путешествия; Творчество"
м,11.12.1990,Москва,Дискуссионный клуб; Автомобили; Интернет-СМИ; Блогер; Городское сообщество; Боевые искусства; Дискуссионный клуб; Юмор; Общественный деятель; Домашние и дикие животные; Интернет-СМИ; Кино; Интернет-СМИ; Юмор; Городское сообщество; Дискуссионный клуб; Творчество; Печатное издание; Городское сообщество; Языки
м,,Санкт-Петербург,
ж,,Москва,"Другие хобби; Городское сообщество; Кино; Образование; Диеты, здоровое питание; Наука; Домашние и дикие животные; Приложение; Видеоигры; Творчество; Юмор; Музыкальная группа; Дизайн и графика; Анимация; Юмор; Творчество; Юмор; Кино; Юмор; Кино"
ж,,,
ж,,Тверь,"Доставка еды; Городское сообщество; Интернет-СМИ; Видеоигра; Программирование; Городское сообщество; Дизайн и графика; Видеоигры; Кулинария, рецепты; Видеоигра; Видеоигры; Творчество; Видеоигры; Бизнес; Игры; Видеоигра; Художница; Художник; Художница; Городское сообщество"
ж,,,"Общество; Общество; Культурный центр; Соседи; Музыкант; Кино; Кино; Кино; Кино; Театр; Здоровый образ жизни; Фан-сообщество; Стилист, имиджмейкер; Дискуссионный клуб; Городское сообщество; Кино; Юмор; Блог; Кулинария, рецепты; Музей, галерея, выставка"
м,,Грозный,
м,2.9.1980,Рязань,"Интернет-СМИ; Интернет-СМИ; Стиль, одежда, обувь; Фан-сообщество; Интернет-СМИ; Юмор; Культура; Религия; Культура; Другие хобби; Фотография; Фотография; Литература; Религия; Туризм, путешествия; История; Религиозное учреждение; Фотограф; Фотограф; Творчество"
