sex,bdate,city,groups_activities
м,26.12.1989,Москва,Интернет-СМИ; Другая музыка; Интернет-СМИ; Другие хобби; Вымышленный персонаж; Общество; Активный отдых; Юмор; Дизайн и графика; Юмор; Интернет-СМИ; Объявления; Другие хобби; Мототехника; Творчество; Объявления; Музыка; Электронная музыка; Рок; Образование
ж,,Москва,"Кино; Фитнес; Юмор; Общественная организация; Творчество; Уход за собой; Наука; Дизайн и графика; Уход за собой; Кино; Творчество; Одежда, обувь; Юмор; Кино; Кино; Уход за собой; Дополнительное образование; Туризм, путешествия; Спортивная организация; Спортивная организация"
ж,,Красноярск,"Домашние и дикие животные; Домашние и дикие животные; Книга; Зоопарк; Домашние и дикие животные; Услуги для владельцев животных; Услуги для владельцев животных; Государственная организация; Университет; Кино; Режиссёр, продюсер; Культура; Книжный магазин; Творчество; История; Культура; Фотография; Другая музыка; Дополнительное образование; Интернет-СМИ"
м,12.4.1991,Москва,"Юмор; Банк, финансовое учреждение; Здоровый образ жизни; ВКонтакте; Реклама; Программное обеспечение; ВКонтакте; Юмор; Интернет-СМИ; Фитнес; Рок; Видеоигры; Юмор; Юмор; Здоровый образ жизни; Наука; Наука; Юмор; Творчество; Творчество"
м,,Кострома,Настольные игры; Другие хобби; Игры; Издательский дом; Игры; Другие хобби; Стример; Художник; Настольные игры; Настольные игры; Ролевые игры; Активный отдых; Ролевые игры; Видеоигры; Творчество; Настольные игры; Настольные игры; Юмор; Писатель; Настольные игры
м,10.7.1989,Подольск,
м,14.5.1972,Санкт-Петербург,"Кино; Дизайн интерьера; Дизайн интерьера; Юмор; Юмор; Интернет-СМИ; Туризм, путешествия; Литература; Реклама; Другие хобби; Юмор; Дизайн интерьера; Культурный центр; ВКонтакте; Творчество; Литература; Интернет-СМИ; Другая музыка; Городское сообщество; Образование"
ж,,,"Интернет-СМИ; Творчество; Творчество; Музыкант; Музыкант; Музыкант; Музей, галерея, выставка; Музыкант; Стиль, мода; Вымышленный персонаж; Стиль, одежда, обувь; Музыкант; Интернет-СМИ; Интернет-СМИ; Дизайн и графика; Музыкант; Фотография; Кулинария, рецепты; Стиль, мода; Музыкант"
м,,Новочеркасск,"Юмор; Домашние и дикие животные; Домашние и дикие животные; Юмор; Домашние и дикие животные; Городское сообщество; Юмор; Домашние и дикие животные; Юмор; Домашние и дикие животные; Домашние и дикие животные; Домашние и дикие животные; Юмор; Игры; Городское сообщество; Домашние и дикие животные; Интернет-СМИ; Интернет-СМИ; Общество; Туризм, путешествия"
м,,Клин,"Городское сообщество; Торговый центр; Фото- и видеосъёмка; Городское сообщество; Творчество; Фотография; Туризм, путешествия; Туризм, путешествия; Другие хобби; Фото- и видеосъемка; Спортивный комплекс; Объявления; Программное обеспечение; Фотография; Другая музыка; Театр; Фото- и видеосъёмка; Музыкальная группа; Музыка; Интернет-СМИ"
