sex,bdate,city,groups_activities
ж,,Москва,
м,21.10.1990,Челябинск,"Городское сообщество; Интернет-СМИ; Хоккей; Интернет-СМИ; Городское сообщество; Хоккей; Бизнес; Видеоигры; Бизнес; Родители и дети; Программирование; Спортивная организация; Городское сообщество; Городское сообщество; Строительные и ремонтные работы; Футбол; Городское сообщество; Молодёжное движение; Консалтинг, бизнес-услуги; Кино"
м,,Новосибирск,Городское сообщество; Фотография; Фотография; Фотография; Кино; Программное обеспечение; Фотография; Фотография; Фотография; Фотография; Фотография; Фотография; Фотография; Фотография; Фотограф; Фотография; Фотография; Фотография; Автосервис; Музыка
м,25.12.1981,Москва,"Юмор; Дизайн интерьера; Наука; Отношения полов; Бизнес; Творчество; Бизнес; Одежда, обувь; Интернет-СМИ; Общество; Юмор; Мебель; Одежда, обувь; Банк, финансовое учреждение; Бизнес; Городское сообщество; Интернет-СМИ; Литература; Творчество; Предприниматель"
ж,,Екатеринбург,"Туризм, путешествия; Активный отдых; Фотография; Городское сообщество; Туры, экскурсии; Музей, галерея, выставка; Университет; Дизайн и графика; Писатель; Активный отдых; Спортивный клуб; Творчество; Государственная организация; Танцы; Туризм, путешествия; Музей, галерея, выставка; Туризм, путешествия; Ночной клуб; Танцевальная музыка; Туризм, путешествия"
м,,Санкт-Петербург,"Творчество; Дизайн и графика; Творчество; Фотография; Творчество; Творчество; Творчество; Rap, Hip-Hop; Творчество; Художница; Музыкальная группа; Юмор; Дизайн и графика; Литература; Кино; Творчество; Кафе, ресторан; Творчество; Музыка; Интернет-СМИ"
м,10.8.1987,Веселый,"Образование; Дизайн интерьера; Другие хобби; Юмор; Творчество; Туризм, путешествия; Кино; Юмор; Литература; Государственная организация; Шоу, передача; Образование; Программирование; Юмор; Домашние и дикие животные; Фотография; Образование; Издательский дом; Зоопарк; Кино"
м,,,"Образование; Шоу, передача; Автовладельцы; Дизайн и графика; Фотография; Культура; Юмор; Обучающие курсы; Дизайн и графика; Фотография; Видеоигра; Фан-сообщество; Интернет-СМИ; Творчество; Интернет-СМИ; Государственная организация; Творчество; Наука; Юмор; ВКонтакте"
м,9.7.1986,Москва,"Бизнес; Образование; Кино; Образование; Юмор; Туризм, путешествия; Туризм, путешествия; Языки; Шоу, передача; Архив; Туризм, путешествия; Культура; Кино; Дизайн интерьера; Другая музыка; Обмен музыкой; Творчество; Интернет-СМИ; Творчество; Творчество"
м,11.5.1975,Москва,"Телеканал; Астрология, эзотерика; Кулинария, рецепты; ВКонтакте; Кулинария, рецепты; Родители и дети; Комик; Фитнес; Бизнес; Родители и дети; Дизайн интерьера; Стиль, одежда, обувь; Комик; Общество; Кулинария, рецепты; Видеоигра; Другие товары; Продажа билетов, бронирование гостиниц; Шоу, передача; Телеканал"
м,5.3.1990,Нижний Новгород,"Кулинария, рецепты; Интернет-СМИ; Дискуссионный клуб; Строительство, ремонт; Rap, Hip-Hop; Интернет-СМИ; Наука; Фотография; Юмор; Фотография; Творчество; Юмор; Строительство, ремонт; Литература; Юмор; Городское сообщество; Юмор; Мобильные технологии; Объявления; Юмор"
м,,Томск,"Юмор; Интернет-СМИ; Философия; Учёный, преподаватель; Интернет-СМИ; Наука; Литература; Финансы; Юмор; Образование; Зоопарк; Видеоигры; Юмор; Музей, галерея, выставка; Культура; Юмор; Библиотека; Культура; Интернет-СМИ; Бизнес"
